#n	model	std	omp_T1	omp_T2	omp_T4	omp_T8	phys
1e+06	0.000909091	0.00115573	0.00099321	0.000503777	0.000276344	0.000322048	0.000301945
2e+06	0.00181818	0.00193984	0.00202395	0.000999148	0.000505297	0.000343814	0.000645581
3e+06	0.00272727	0.00303001	0.00321339	0.00154947	0.000841096	0.000567945	0.000735038
4e+06	0.00363636	0.00393137	0.0041208	0.00204571	0.00110439	0.00120619	0.00119308
5e+06	0.00454545	0.00508825	0.00489231	0.00252854	0.00141542	0.00114256	0.00108807
6e+06	0.00545455	0.00618341	0.00591601	0.00298408	0.00164122	0.00132994	0.00127808
7e+06	0.00636364	0.00715618	0.00680903	0.00343729	0.00191429	0.00143131	0.00166305
8e+06	0.00727273	0.00825256	0.00781961	0.00393632	0.00213779	0.0019093	0.00206688
9e+06	0.00818182	0.00923974	0.00949033	0.0044674	0.00275922	0.00239278	0.00246383
1e+07	0.00909091	0.010814	0.0107178	0.00579726	0.00263804	0.0026312	0.00295444
1.1e+07	0.01	0.011965	0.011246	0.00561215	0.0038289	0.00288843	0.00295903
1.2e+07	0.0109091	0.0133264	0.0125088	0.00671692	0.00331553	0.0041135	0.00287154
1.3e+07	0.0118182	0.0142274	0.0136158	0.00738822	0.003615	0.00414726	0.00388708
1.4e+07	0.0127273	0.0154742	0.0144134	0.00782705	0.00381268	0.00461025	0.00493571
1.5e+07	0.0136364	0.0164196	0.01592	0.00874439	0.0043439	0.00516774	0.00535671
1.6e+07	0.0145455	0.0177533	0.0169768	0.00912864	0.00472591	0.0055791	0.00516823
1.7e+07	0.0154545	0.0192943	0.0182618	0.00974704	0.00522092	0.00664928	0.00571343
1.8e+07	0.0163636	0.0200419	0.0193893	0.0103812	0.00565799	0.00669244	0.0068279
1.9e+07	0.0172727	0.0209606	0.0202283	0.0111845	0.00584142	0.00757885	0.00628655
2e+07	0.0181818	0.022404	0.0220651	0.012795	0.00894908	0.00712294	0.00717994
2.1e+07	0.0190909	0.0236474	0.0227667	0.0118042	0.00822592	0.00790387	0.00874615
2.2e+07	0.02	0.0250487	0.0241264	0.0127463	0.009091	0.00899685	0.00915619
2.3e+07	0.0209091	0.0258803	0.024268	0.0134744	0.00938053	0.00932703	0.00953428
2.4e+07	0.0218182	0.0266472	0.0262028	0.0147525	0.00993676	0.00978004	0.0102859
2.5e+07	0.0227273	0.0275765	0.0268537	0.014619	0.0107478	0.0102876	0.0108362
2.6e+07	0.0236364	0.0294321	0.0277383	0.0149135	0.0110815	0.0112594	0.0110746
2.7e+07	0.0245455	0.0300175	0.0289531	0.0159426	0.0120198	0.0117474	0.0117002
2.8e+07	0.0254545	0.0308047	0.0305436	0.0164338	0.0124694	0.0125033	0.012809
2.9e+07	0.0263636	0.0326532	0.0308116	0.0167592	0.0126885	0.0126366	0.0126366
3e+07	0.0272727	0.0327519	0.0311261	0.0169272	0.0140555	0.0133373	0.0134542
3.1e+07	0.0281818	0.0338341	0.0335852	0.0181883	0.0138694	0.0136052	0.0141194
3.2e+07	0.0290909	0.0354798	0.0337725	0.0185666	0.0147473	0.014521	0.0144136
3.3e+07	0.03	0.0366523	0.0347466	0.0187814	0.0147551	0.0153386	0.0148246
3.4e+07	0.0309091	0.0378272	0.0360195	0.0192573	0.0153596	0.0155984	0.0151105
3.5e+07	0.0318182	0.0385502	0.0361039	0.0198962	0.0158622	0.0157346	0.0155209
3.6e+07	0.0327273	0.038999	0.0394324	0.0203738	0.0164048	0.0159171	0.0159226
3.7e+07	0.0336364	0.0403866	0.0386797	0.0216982	0.0165536	0.0163681	0.016895
3.8e+07	0.0345455	0.0415602	0.0411612	0.0220581	0.0170503	0.0170792	0.0169265
3.9e+07	0.0354545	0.0426382	0.0415293	0.0223323	0.0177454	0.0171817	0.0183754
4e+07	0.0363636	0.0436911	0.0422294	0.0221711	0.0180913	0.0178329	0.0181052
4.1e+07	0.0372727	0.0443985	0.0427019	0.0240159	0.0183343	0.0183752	0.0181557
4.2e+07	0.0381818	0.0463108	0.0436443	0.0232667	0.0190697	0.0189967	0.0198568
4.3e+07	0.0390909	0.0465073	0.0451299	0.0246887	0.0198608	0.0193021	0.0194101
4.4e+07	0.04	0.0474391	0.0458388	0.0246751	0.0198298	0.0200397	0.0203758
4.5e+07	0.0409091	0.0488242	0.0455112	0.0255709	0.0202005	0.0208334	0.020289
4.6e+07	0.0418182	0.049919	0.0475579	0.0253162	0.0209992	0.0211875	0.020367
4.7e+07	0.0427273	0.0506743	0.0487767	0.0265027	0.021498	0.0213304	0.0221362
4.8e+07	0.0436364	0.0518392	0.0491753	0.0275972	0.021748	0.0215265	0.0220856
4.9e+07	0.0445455	0.0531223	0.0496861	0.0280295	0.021838	0.0225398	0.0221376
5e+07	0.0454545	0.054218	0.05171	0.028268	0.0230984	0.0223246	0.0233058
