#n	Model	Matrix_t1	Matrix_t2	Matrix_t3
150	0.00305795	0.00328554	0.00443067	0.00435368
151	0.00311959	0.00337564	0.00455253	0.0043933
152	0.00318205	0.00340414	0.00478305	0.00449582
153	0.00324534	0.00347379	0.00480916	0.00461509
154	0.00330946	0.0036431	0.00495156	0.00465977
155	0.00337442	0.00393082	0.00488152	0.00473802
156	0.00344023	0.00382309	0.00506176	0.00490161
157	0.00350688	0.00377224	0.00511583	0.00492136
158	0.00357439	0.00384496	0.00526686	0.00513512
159	0.00364276	0.00394324	0.00533319	0.00516165
160	0.003712	0.00433511	0.00543075	0.00524502
161	0.00378211	0.00411101	0.00554167	0.00535161
162	0.0038531	0.00433013	0.00562459	0.00546075
163	0.00392497	0.00439832	0.00579745	0.00558869
164	0.00399772	0.00448969	0.00584817	0.0056358
165	0.00407138	0.00442132	0.00595151	0.00575405
166	0.00414593	0.00467513	0.0060421	0.00587646
167	0.00422138	0.00462031	0.00609986	0.00596985
168	0.00429775	0.00483855	0.00621503	0.00614085
169	0.00437503	0.00493065	0.00657784	0.00620746
170	0.00445323	0.00499767	0.00649891	0.0062926
171	0.00453236	0.00517812	0.00661665	0.006392
172	0.00461241	0.00527504	0.00669859	0.00657182
173	0.00469341	0.00527069	0.00683348	0.00699034
174	0.00477535	0.00606051	0.00852536	0.00842048
175	0.00485824	0.00713237	0.0072313	0.00707748
176	0.00494208	0.00642245	0.00926438	0.00737151
177	0.00502688	0.00598969	0.00747087	0.00735111
178	0.00511265	0.0059679	0.00749806	0.00739714
179	0.00519938	0.00617251	0.00776315	0.00745357
180	0.00528709	0.00614849	0.00784982	0.00765404
181	0.00537578	0.0062067	0.00798627	0.0078006
182	0.00546546	0.00646125	0.00816345	0.00804968
183	0.00555613	0.00646554	0.00818498	0.00811103
184	0.0056478	0.00663411	0.00838386	0.00811335
185	0.00574047	0.00691079	0.00847546	0.00827805
186	0.00583414	0.0070054	0.00864772	0.00886045
187	0.00592884	0.00736126	0.0089344	0.00863216
188	0.00602455	0.00725252	0.00925509	0.00923231
189	0.00612128	0.00795154	0.00989392	0.00945322
190	0.00621905	0.00755106	0.0100821	0.0107979
191	0.00631785	0.00873257	0.0102428	0.0104693
192	0.00641769	0.00954669	0.012713	0.0146838
193	0.00651858	0.0094145	0.014483	0.0129707
194	0.00662051	0.0100852	0.013905	0.0161253
195	0.00672351	0.00908335	0.0140689	0.0141831
196	0.00682757	0.00861041	0.0140013	0.0119406
197	0.0069327	0.00917424	0.0140094	0.0142047
198	0.0070389	0.00872679	0.0135619	0.0136814
199	0.00714618	0.0106037	0.0170215	0.015866
200	0.00725455	0.0092247	0.016767	0.0144323
201	0.007364	0.00924109	0.0137964	0.0141117
202	0.00747455	0.009175	0.0146545	0.0143226
203	0.0075862	0.00963974	0.0145371	0.0145954
204	0.00769896	0.00930309	0.0142733	0.0142472
205	0.00781283	0.0103805	0.0152736	0.0157597
206	0.00792782	0.00973644	0.0153465	0.0162462
207	0.00804393	0.0104001	0.0157387	0.0154781
208	0.00816116	0.00998793	0.0164464	0.015989
209	0.00827953	0.0105011	0.0157779	0.0163579
210	0.00839905	0.0102395	0.0160328	0.016633
211	0.0085197	0.0107283	0.0162404	0.0161682
212	0.00864151	0.0107249	0.0167766	0.0165007
213	0.00876447	0.0112069	0.0166967	0.016391
214	0.00888859	0.0111459	0.0182921	0.0178741
215	0.00901387	0.0114784	0.0175839	0.0151597
216	0.00914033	0.0112175	0.0177727	0.0173738
217	0.00926797	0.0118431	0.0176944	0.0177554
218	0.00939679	0.0116187	0.0184223	0.0188591
219	0.0095268	0.0121433	0.0183999	0.0191112
220	0.009658	0.0117897	0.0188471	0.0195712
221	0.0097904	0.0123265	0.0188677	0.0195696
222	0.00992401	0.0122063	0.0195179	0.0196646
223	0.0100588	0.0130409	0.0200805	0.0191865
224	0.0101949	0.0133199	0.0201935	0.0191838
225	0.0103321	0.0132384	0.0211266	0.0205256
226	0.0104706	0.0130248	0.0203997	0.0197053
227	0.0106103	0.0138008	0.0211744	0.0212607
228	0.0107512	0.0130654	0.0212694	0.0212335
229	0.0108934	0.0141085	0.0215423	0.0214467
230	0.0110369	0.0139259	0.0209584	0.0214876
231	0.0111816	0.0142042	0.0228717	0.022763
232	0.0113275	0.0138922	0.022117	0.0234325
233	0.0114747	0.0147324	0.0221559	0.0230903
234	0.0116232	0.0145003	0.0230911	0.0216896
235	0.011773	0.0150772	0.0242836	0.0236939
236	0.011924	0.0143987	0.0240864	0.0252043
237	0.0120763	0.0153806	0.0239295	0.0238165
238	0.01223	0.0152082	0.0244603	0.0248057
239	0.0123849	0.016917	0.0234779	0.0242165
240	0.0125411	0.0155328	0.0236119	0.0237182
241	0.0126986	0.0174437	0.0244746	0.0238696
242	0.0128575	0.0158475	0.0244903	0.0242027
243	0.0130176	0.0170453	0.0257236	0.0249578
244	0.0131791	0.016234	0.0258055	0.0253834
245	0.0133419	0.0169859	0.0270134	0.0255273
246	0.0135061	0.0166612	0.026472	0.0259888
247	0.0136716	0.0172899	0.0271663	0.0265402
248	0.0138384	0.0171477	0.0285503	0.0268222
249	0.0140066	0.0178921	0.0287373	0.0273584
250	0.0141761	0.0179727	0.0284242	0.0291484
251	0.014347	0.0181505	0.0285382	0.0272851
252	0.0145193	0.0177511	0.0297083	0.0272627
253	0.014693	0.0187573	0.0283383	0.0277695
254	0.014868	0.018392	0.0297976	0.0289743
255	0.0150444	0.0190356	0.0305487	0.0305308
256	0.0152222	0.0287047	0.0294279	0.029704
257	0.0154014	0.0195892	0.0242814	0.0241988
258	0.015582	0.0191316	0.0245893	0.0243136
259	0.015764	0.019899	0.0251886	0.0245456
260	0.0159475	0.0195387	0.0250124	0.0249093
261	0.0161323	0.0204443	0.0253005	0.0253127
262	0.0163186	0.019965	0.0257043	0.0251007
263	0.0165062	0.0211684	0.0263159	0.0260096
264	0.0166954	0.0204409	0.0266119	0.0258019
265	0.0168859	0.0213832	0.0266533	0.0265208
266	0.0170779	0.0210802	0.0271626	0.0268448
267	0.0172714	0.0220469	0.0272785	0.027168
268	0.0174663	0.0210692	0.0275202	0.0272541
269	0.0176627	0.0224019	0.0278159	0.0276848
270	0.0178605	0.021962	0.0281141	0.0282485
271	0.0180598	0.0245956	0.0285744	0.0285799
272	0.0182606	0.0233997	0.0296349	0.029129
273	0.0184629	0.0236811	0.0293678	0.0294287
274	0.0186666	0.0231704	0.0293801	0.029942
275	0.0188719	0.0236693	0.029892	0.0301324
276	0.0190786	0.0232021	0.0303436	0.0302065
277	0.0192869	0.0248946	0.0313585	0.0305969
278	0.0194966	0.024106	0.0312526	0.0307197
279	0.0197079	0.0253711	0.0314539	0.0315133
280	0.0199207	0.0244724	0.0319264	0.0319576
281	0.0201351	0.0261291	0.0319756	0.0320606
282	0.0203509	0.0252891	0.032631	0.0324166
283	0.0205683	0.0262792	0.0330201	0.0330661
284	0.0207873	0.0253516	0.0328585	0.0331663
285	0.0210077	0.0273763	0.0332598	0.0334563
286	0.0212298	0.0266624	0.0334672	0.0336534
287	0.0214534	0.0276285	0.0343612	0.0343297
288	0.0216785	0.0285842	0.0338658	0.0331975
289	0.0219053	0.0273062	0.0341862	0.0336155
290	0.0221336	0.0266916	0.0341878	0.0342715
291	0.0223635	0.0277218	0.0348181	0.034338
292	0.022595	0.0272147	0.0359814	0.0356927
293	0.022828	0.0288876	0.0362133	0.0359634
294	0.0230627	0.027962	0.0369115	0.0361311
295	0.023299	0.0289901	0.0361918	0.035787
296	0.0235368	0.0282236	0.0368998	0.0363708
297	0.0237763	0.0295751	0.0367913	0.0370534
298	0.0240174	0.0290389	0.0374137	0.0368683
299	0.0242602	0.0302233	0.037854	0.0380013
300	0.0245045	0.0291428	0.0385216	0.0380327
301	0.0247505	0.03142	0.0382105	0.0388479
302	0.0249982	0.0302682	0.0385493	0.0385056
303	0.0252475	0.0322522	0.0396778	0.0390566
304	0.0254984	0.0332105	0.0394554	0.0389141
305	0.025751	0.0322068	0.0402739	0.039982
306	0.0260053	0.0316997	0.0406092	0.0411471
307	0.0262612	0.0337413	0.0414234	0.0407292
308	0.0265188	0.0319394	0.0420146	0.0411576
309	0.0267781	0.0336959	0.0424027	0.0419822
310	0.027039	0.0328627	0.0420796	0.0411786
311	0.0273017	0.0347413	0.0434071	0.0427351
312	0.0275661	0.0331498	0.0427391	0.0418455
313	0.0278321	0.0352517	0.0438639	0.0431302
314	0.0280999	0.0342946	0.0443282	0.0438808
315	0.0283693	0.0367295	0.0457023	0.0439473
316	0.0286405	0.0348002	0.0449121	0.0437183
317	0.0289134	0.0388214	0.04536	0.0450904
318	0.0291881	0.0357812	0.0459101	0.0461799
319	0.0294644	0.0376501	0.0461641	0.0451087
320	0.0297425	0.0396707	0.046367	0.0458182
321	0.0300224	0.0380413	0.0551328	0.0540033
322	0.030304	0.0369729	0.0553592	0.0551476
323	0.0305874	0.038499	0.055359	0.0559768
324	0.0308725	0.0374117	0.0575467	0.0573344
325	0.0311594	0.0389701	0.0571487	0.05555
326	0.031448	0.039184	0.0597273	0.0579872
327	0.0317385	0.040479	0.0572528	0.0570493
328	0.0320307	0.0386109	0.0574934	0.0583979
329	0.0323247	0.0409807	0.060511	0.0600403
330	0.0326205	0.039477	0.06111	0.059915
331	0.0329181	0.0418857	0.0613366	0.0603109
332	0.0332175	0.0397634	0.0625092	0.0612232
333	0.0335187	0.0427257	0.0621462	0.0612064
334	0.0338218	0.0417237	0.0618697	0.0611367
335	0.0341266	0.0437779	0.0634047	0.06236
336	0.0344333	0.0449007	0.0644066	0.0623755
337	0.0347418	0.0446194	0.0635199	0.063589
338	0.0350521	0.0430205	0.0645133	0.0640692
339	0.0353643	0.045285	0.066611	0.0664133
340	0.0356784	0.0426831	0.0658248	0.0640366
341	0.0359943	0.046303	0.0687249	0.0671275
342	0.036312	0.0447106	0.0681119	0.0666203
343	0.0366316	0.0463775	0.0677508	0.0681119
344	0.0369531	0.0450223	0.0678273	0.067066
345	0.0372765	0.0470255	0.0678181	0.0673814
346	0.0376017	0.0463257	0.0700191	0.0683993
347	0.0379288	0.0480428	0.0691345	0.0691372
348	0.0382579	0.0462537	0.0709374	0.0699817
349	0.0385888	0.0500114	0.0707125	0.0713986
350	0.0389216	0.047133	0.0712745	0.0706983
351	0.0392563	0.0500873	0.0717286	0.0725813
352	0.039593	0.0525502	0.073338	0.0721466
353	0.0399315	0.0501831	0.0728133	0.0736712
354	0.040272	0.0486838	0.0745386	0.0744502
355	0.0406144	0.0522309	0.0757521	0.0754006
356	0.0409588	0.049067	0.0774636	0.0762913
357	0.0413051	0.052842	0.0751068	0.0760416
358	0.0416533	0.0514995	0.0773725	0.0762201
359	0.0420035	0.0535147	0.0791138	0.077656
360	0.0423556	0.051076	0.0792037	0.0783915
